Depth (m),Litho (Euc),Calcarenite (%),Calcilutite (%),Fine Sand (%),Claystone (%),Sandstone (%),Argillaceous Siltstone (%),Calcareous Claystone (%),Silty Claystone (%),Argillaceous Sandstone (%),Dolomitic Calcarenite (%),Argillaceous Calcilutite (%)
500,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
600,Calcarenite,60,40,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
620,Calcarenite,60,40,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
640,Calcarenite,80,20,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
660,Calcarenite,80,20,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
680,Calcarenite,90,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
700,Calcarenite,90,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
710,Calcarenite,90,7,3,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
720,Calcarenite,90,5,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
730,Fine Sand,90,5,5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
740,Calcarenite,25,5,70,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
750,Fine Sand,40,-999.25,60,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
760,Calcarenite,30,-999.25,50,20,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
780,Calcarenite,80,-999.25,20,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
800,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
820,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
840,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
860,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
880,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
900,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
910,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
920,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
930,Calcarenite,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
940,Sandstone,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
950,Sandstone,90,-999.25,-999.25,-999.25,10,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
960,Sandstone,85,-999.25,-999.25,-999.25,15,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
970,Sandstone,65,-999.25,-999.25,-999.25,35,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
980,Sandstone,30,-999.25,-999.25,-999.25,70,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1000,Sandstone,30,-999.25,-999.25,-999.25,70,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1020,Sandstone,20,-999.25,-999.25,-999.25,80,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1040,Sandstone,5,-999.25,-999.25,-999.25,95,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1060,Sandstone,-999.25,-999.25,-999.25,-999.25,100,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
1080,Sandstone,25,-999.25,-999.25,-999.25,75,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
