 

WOODSIDE ENERGY VAULT
SRA-01 - SRA01 Definitive Survey

Western Australia
GWF-2 Development
SRA Manifold
Your Ref: 


Measured	 	 	Vertical	 	 	Vertical	Dogleg
Depth	Incl.	Azim.	Depth	Northings	Eastings	Section	Rate	
(m)	 	 	(m)	(m)	(m)	(m)	(°/30m)

     0.00	  0.000	  0.000	     0.00	        0.00	        0.00	     0.00	   0.00
   117.01	  0.000	  0.000	   117.01	        0.00	        0.00	     0.00	   0.00
   124.40	  0.290	311.050	   124.40	        0.01	       -0.01	     0.01	   1.18
   152.31	  0.770	280.850	   152.31	        0.09	       -0.25	     0.21	   0.58
   160.53	  0.630	308.390	   160.53	        0.13	       -0.34	     0.28	   1.31
   208.04	  0.480	291.250	   208.04	        0.37	       -0.73	     0.58	   0.14
   236.07	  0.550	283.140	   236.06	        0.44	       -0.97	     0.79	   0.11
   263.21	  0.430	283.150	   263.20	        0.49	       -1.20	     0.99	   0.13
   291.05	  0.500	315.020	   291.04	        0.60	       -1.39	     1.13	   0.28
   306.46	  0.450	301.650	   306.45	        0.68	       -1.48	     1.20	   0.24
   352.44	  1.060	298.520	   352.43	        0.98	       -2.01	     1.61	   0.40
   379.92	  2.240	281.870	   379.90	        1.21	       -2.76	     2.25	   1.38
   407.91	  3.750	275.880	   407.85	        1.42	       -4.21	     3.56	   1.65
   435.61	  4.920	272.890	   435.47	        1.57	       -6.29	     5.50	   1.29
   463.26	  5.690	270.410	   463.00	        1.64	       -8.85	     7.91	   0.87
   490.78	  6.040	270.240	   490.38	        1.66	      -11.66	    10.58	   0.38
   518.50	  6.540	270.390	   517.93	        1.67	      -14.70	    13.46	   0.54
   546.60	  6.710	270.610	   545.84	        1.70	      -17.94	    16.54	   0.18
   576.16	  6.950	269.210	   575.19	        1.69	      -21.46	    19.88	   0.30
   603.63	  7.130	268.390	   602.45	        1.62	      -24.82	    23.10	   0.23
   631.55	  7.490	268.810	   630.15	        1.54	      -28.37	    26.51	   0.39
   660.32	  7.860	268.870	   658.66	        1.46	      -32.21	    30.19	   0.39
   687.60	  9.260	267.360	   685.63	        1.32	      -36.27	    34.09	   1.56
   714.87	 11.320	264.590	   712.46	        0.97	      -41.13	    38.82	   2.33
   744.23	 14.350	261.340	   741.09	        0.15	      -47.60	    45.22	   3.18
   772.63	 17.340	258.720	   768.41	       -1.21	      -55.23	    52.90	   3.25
   800.38	 20.200	256.480	   794.68	       -3.14	      -63.94	    61.78	   3.19
   829.24	 23.440	254.530	   821.47	       -5.84	      -74.32	    72.49	   3.45
   857.35	 27.020	252.280	   846.89	       -9.27	      -85.80	    84.46	   3.95
   884.75	 28.770	251.660	   871.11	      -13.24	      -97.99	    97.28	   1.94
   912.43	 28.370	250.670	   895.42	      -17.51	     -110.51	   110.52	   0.67
   940.57	 28.120	249.290	   920.21	      -22.07	     -123.03	   123.82	   0.75
   967.93	 28.030	248.620	   944.35	      -26.70	     -135.04	   136.68	   0.36
   995.77	 27.610	247.830	   968.97	      -31.51	     -147.11	   149.65	   0.60
  1023.30	 27.630	246.960	   993.36	      -36.42	     -158.89	   162.37	   0.44
  1050.89	 27.330	246.320	  1017.84	      -41.47	     -170.58	   175.04	   0.46
  1078.66	 27.340	248.880	  1042.51	      -46.33	     -182.37	   187.76	   1.27
  1106.66	 26.760	251.640	  1067.45	      -50.63	     -194.35	   200.48	   1.48
  1135.04	 27.480	250.530	  1092.71	      -54.82	     -206.58	   213.41	   0.93
  1163.11	 29.060	250.000	  1117.43	      -59.31	     -219.10	   226.70	   1.71
  1191.71	 31.540	249.700	  1142.12	      -64.29	     -232.64	   241.12	   2.61
  1219.31	 34.930	249.690	  1165.20	      -69.53	     -246.83	   256.23	   3.68
  1259.90	 36.710	250.210	  1198.11	      -77.68	     -269.14	   279.97	   1.33
  1276.01	 37.630	250.390	  1210.95	      -80.96	     -278.31	   289.70	   1.73
  1303.59	 38.710	250.700	  1232.63	      -86.63	     -294.38	   306.74	   1.19
  1332.08	 39.990	250.640	  1254.66	      -92.61	     -311.42	   324.80	   1.35
  1359.85	 42.270	251.210	  1275.58	      -98.58	     -328.68	   343.06	   2.50
  1387.67	 42.760	251.570	  1296.08	     -104.58	     -346.50	   361.86	   0.59
  1415.52	 43.710	252.430	  1316.37	     -110.47	     -364.64	   380.94	   1.20
  1443.30	 45.830	252.690	  1336.10	     -116.34	     -383.31	   400.50	   2.30
  1471.37	 46.950	253.770	  1355.46	     -122.20	     -402.77	   420.82	   1.46
  1506.88	 48.900	254.070	  1379.25	     -129.50	     -428.09	   447.16	   1.66
  1526.04	 49.900	254.330	  1391.72	     -133.46	     -442.09	   461.70	   1.60
  1554.26	 51.660	254.770	  1409.56	     -139.28	     -463.16	   483.54	   1.91
  1582.03	 51.790	254.550	  1426.76	     -145.05	     -484.19	   505.31	   0.23
  1609.70	 51.050	253.850	  1444.02	     -150.94	     -505.00	   526.93	   1.00
  1637.75	 50.170	252.630	  1461.82	     -157.19	     -525.76	   548.60	   1.38
  1665.94	 50.420	251.900	  1479.83	     -163.79	     -546.41	   570.29	   0.65
  1695.66	 50.370	251.140	  1498.78	     -171.05	     -568.13	   593.18	   0.59
  1724.30	 49.620	250.780	  1517.19	     -178.21	     -588.87	   615.12	   0.84
  1751.72	 49.850	250.320	  1534.91	     -185.17	     -608.60	   636.03	   0.46
  1780.06	 49.440	250.060	  1553.26	     -192.49	     -628.92	   657.62	   0.48
  1808.20	 49.260	249.710	  1571.59	     -199.84	     -648.96	   678.95	   0.34
  1835.60	 48.830	249.750	  1589.55	     -207.00	     -668.38	   699.63	   0.47
  1863.48	 49.040	250.210	  1607.87	     -214.20	     -688.13	   720.64	   0.44
  1890.87	 48.670	250.360	  1625.89	     -221.16	     -707.54	   741.26	   0.42
  1918.58	 49.220	250.720	  1644.09	     -228.12	     -727.24	   762.14	   0.66
  1946.09	 49.710	250.370	  1661.97	     -235.08	     -746.96	   783.04	   0.61
  1973.37	 49.400	250.400	  1679.66	     -242.05	     -766.51	   803.80	   0.34
  2001.78	 50.240	250.620	  1697.99	     -249.29	     -786.98	   825.50	   0.90
  2029.98	 50.110	250.460	  1716.05	     -256.51	     -807.40	   847.15	   0.19
  2058.12	 50.110	250.910	  1734.10	     -263.65	     -827.77	   868.73	   0.37
  2086.34	 49.970	251.270	  1752.22	     -270.66	     -848.24	   890.36	   0.33
  2114.67	 49.820	252.010	  1770.47	     -277.49	     -868.80	   912.03	   0.62
  2142.65	 50.000	251.970	  1788.49	     -284.10	     -889.16	   933.43	   0.20
  2170.92	 49.900	251.950	  1806.68	     -290.81	     -909.73	   955.07	   0.11
  2200.04	 49.970	252.410	  1825.43	     -297.63	     -930.95	   977.36	   0.37
  2227.46	 49.970	252.050	  1843.06	     -304.03	     -950.95	   998.35	   0.30
  2255.25	 50.320	251.770	  1860.87	     -310.66	     -971.22	  1019.69	   0.44
  2283.46	 50.260	251.280	  1878.90	     -317.54	     -991.81	  1041.39	   0.41
  2310.79	 50.210	250.800	  1896.38	     -324.36	    -1011.68	  1062.39	   0.41
  2338.70	 50.050	251.000	  1914.27	     -331.37	    -1031.92	  1083.81	   0.24
  2366.28	 49.780	251.420	  1932.03	     -338.17	    -1051.89	  1104.91	   0.46
  2393.76	 49.890	251.070	  1949.75	     -344.92	    -1071.78	  1125.91	   0.32
  2421.12	 50.350	250.900	  1967.30	     -351.76	    -1091.63	  1146.90	   0.52
  2448.50	 50.160	250.290	  1984.80	     -358.75	    -1111.48	  1167.95	   0.55
  2477.66	 49.710	249.530	  2003.57	     -366.42	    -1132.44	  1190.25	   0.76
  2506.27	 50.050	249.110	  2022.01	     -374.15	    -1152.91	  1212.10	   0.49
  2535.19	 49.820	248.590	  2040.62	     -382.13	    -1173.55	  1234.20	   0.48
  2563.11	 49.900	247.810	  2058.62	     -390.06	    -1193.37	  1255.50	   0.65
  2590.98	 49.940	247.520	  2076.56	     -398.16	    -1213.10	  1276.76	   0.24
  2618.25	 49.990	246.930	  2094.11	     -406.24	    -1232.35	  1297.57	   0.50
  2645.94	 49.860	246.740	  2111.93	     -414.58	    -1251.83	  1318.67	   0.21
  2675.17	 50.310	247.630	  2130.69	     -423.27	    -1272.49	  1341.01	   0.84
  2686.42	 50.240	248.170	  2137.88	     -426.53	    -1280.51	  1349.64	   1.12
  2735.30	 49.420	249.180	  2169.41	     -440.11	    -1315.30	  1386.93	   0.69
  2763.48	 48.790	253.040	  2187.86	     -447.01	    -1335.45	  1408.22	   3.18
  2792.20	 48.920	254.800	  2206.76	     -453.00	    -1356.23	  1429.83	   1.39
  2820.70	 49.840	254.910	  2225.31	     -458.65	    -1377.11	  1451.44	   0.97
  2848.49	 50.580	254.780	  2243.10	     -464.23	    -1397.72	  1472.76	   0.81
  2876.23	 50.970	254.930	  2260.64	     -469.85	    -1418.46	  1494.23	   0.44
  2903.33	 50.510	254.480	  2277.79	     -475.38	    -1438.70	  1515.19	   0.64
  2931.45	 50.460	255.030	  2295.68	     -481.09	    -1459.63	  1536.86	   0.46
  2958.45	 50.990	254.790	  2312.78	     -486.53	    -1479.81	  1557.73	   0.62
  2986.77	 50.500	254.000	  2330.70	     -492.43	    -1500.93	  1579.64	   0.83
  3014.36	 50.760	254.150	  2348.20	     -498.28	    -1521.44	  1600.95	   0.31
  3042.71	 50.580	254.090	  2366.16	     -504.28	    -1542.53	  1622.87	   0.20
  3071.27	 50.320	254.640	  2384.35	     -510.21	    -1563.74	  1644.87	   0.52
  3099.44	 50.030	255.150	  2402.39	     -515.85	    -1584.63	  1666.48	   0.52
  3128.14	 50.230	253.900	  2420.79	     -521.73	    -1605.86	  1688.48	   1.02
  3156.10	 50.160	253.130	  2438.69	     -527.82	    -1626.45	  1709.95	   0.64
  3184.36	 50.030	252.980	  2456.82	     -534.14	    -1647.19	  1731.63	   0.18
  3212.33	 49.460	252.160	  2474.89	     -540.54	    -1667.56	  1752.97	   0.91
  3240.65	 50.020	252.200	  2493.19	     -547.15	    -1688.13	  1774.58	   0.59
  3267.94	 50.880	251.820	  2510.57	     -553.65	    -1708.14	  1795.63	   1.00
  3295.44	 50.940	250.810	  2527.91	     -560.49	    -1728.36	  1816.97	   0.86
  3323.34	 51.820	251.140	  2545.33	     -567.59	    -1748.97	  1838.76	   0.99
  3350.96	 52.360	251.470	  2562.30	     -574.58	    -1769.61	  1860.55	   0.65
  3379.34	 53.150	251.930	  2579.47	     -581.67	    -1791.06	  1883.15	   0.92
  3408.14	 53.540	252.140	  2596.67	     -588.80	    -1813.04	  1906.25	   0.44
  3436.06	 54.250	252.300	  2613.12	     -595.68	    -1834.52	  1928.81	   0.78
  3464.26	 54.710	252.650	  2629.50	     -602.59	    -1856.41	  1951.76	   0.58
  3492.43	 55.560	252.860	  2645.60	     -609.45	    -1878.48	  1974.87	   0.92
  3520.18	 56.580	252.540	  2661.09	     -616.29	    -1900.46	  1997.89	   1.14
  3547.53	 57.860	251.440	  2675.90	     -623.40	    -1922.33	  2020.89	   1.73
  3574.16	 57.770	250.750	  2690.09	     -630.71	    -1943.65	  2043.42	   0.67
  3601.98	 58.480	250.850	  2704.78	     -638.48	    -1965.96	  2067.04	   0.77
  3630.25	 59.230	251.970	  2719.40	     -646.19	    -1988.89	  2091.23	   1.29
  3658.85	 59.560	252.110	  2733.96	     -653.78	    -2012.31	  2115.85	   0.37
  3687.51	 60.250	252.160	  2748.33	     -661.39	    -2035.91	  2140.65	   0.72
  3717.68	 60.750	252.810	  2763.19	     -669.29	    -2060.95	  2166.90	   0.75
  3743.18	 62.130	253.140	  2775.38	     -675.84	    -2082.37	  2189.30	   1.66
  3771.81	 62.710	253.640	  2788.63	     -683.10	    -2106.68	  2214.67	   0.76
  3798.59	 63.000	253.810	  2800.85	     -689.78	    -2129.56	  2238.48	   0.37
  3828.55	 64.930	252.020	  2814.00	     -697.69	    -2155.29	  2265.40	   2.52
  3854.27	 65.070	251.580	  2824.87	     -704.97	    -2177.43	  2288.71	   0.49
  3883.03	 64.840	251.310	  2837.05	     -713.26	    -2202.13	  2314.76	   0.35
