Date	Time	Bit Depth	Tot Depth	TVD Depth	LAG Depth	WOH	WOH min	WOH max	WOB	TORQUE	TRQ min	TRQ max	RPM	SPP	ROP m/hr	Cntr 1	Pump 1	Cntr 2	Pump 2	Cntr 3	Pump 3	Cum Cntrs	PumpTime	FLWpmps	RETURN	Sum 1	VarSum1	ACT PIT	VarSum2	MW IN	MW OUT	TMP IN	TMP OUT	T Revol	
		m	m	m	m	klbs	klbs	klbs	klbs	lb*ft	lb*ft	lb*ft	rpm	psi	m/h	stks	spm	stks	spm	stks	spm	stks	h	gpm	%	bbl	l/mn	bbl	l/mn	ppg	kg/l	degC	degC	krev	
9/15/2014	18:00:10	4692.15	4692.18	4065.37	4683.5	407.9	409.6	409.6	15.7	17008	15422	15422	94	1113	4.29	12428	25	12042	26	12202	24	36672	93.77	325	14	1205.66	1622	30.41	1	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:00:20	4691.95	4692.18	4065.37	4683.5	407.2	406.5	406.5	16.4	16552	16684	16684	91	1078	4.29	12431	25	12046	26	12206	24	36683	93.77	328	7	1208.12	1868	30.4	1	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:00:30	4692.12	4692.18	4065.37	4683.5	407.2	408.8	408.8	16.4	16419	16082	16082	94	1057	4.29	12436	25	12050	26	12210	24	36696	93.77	330	14	1207.4	1792	30.4	1	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:00:40	4691.99	4692.18	4065.37	4683.5	407.5	406.1	409.3	16	17157	17528	17673	87	1054	4.29	12441	25	12055	26	12215	24	36711	93.78	331	9	1208.5	1743	30.4	1	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:00:50	4692.18	4692.18	4065.37	4683.5	408.1	407.3	407.3	15.5	16815	15766	15766	94	1046	4.29	12444	25	12059	26	12218	25	36721	93.78	332	14	1207.25	1676	30.4	1	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:01:00	4692.24	4692.24	4065.37	4683.5	407.8	407.8	407.8	15.7	17249	16659	16659	91	1047	4.29	12451	27	12065	27	12225	25	36741	93.78	332	16	1208.06	1632	30.4	1	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:01:10	4692.14	4692.26	4065.37	4683.5	406.9	401.7	401.7	16.7	16754	18070	18070	86	1123	4.29	12454	29	12069	29	12228	28	36751	93.79	377	9	1208.12	1421	30.42	3	1.2	1.2	41.6	52.5	277.7	
9/15/2014	18:01:20	4692.27	4692.31	4065.37	4683.5	403.4	404.3	404.3	20.1	17427	16403	16403	92	1178	4.29	12459	28	12074	29	12233	28	36766	93.79	377	15	1207.61	1500	30.4	5	1.2	1.2	41.7	52.6	277.7	
9/15/2014	18:01:30	4692.18	4692.31	4065.37	4683.5	404.3	402	402	19.3	17298	17226	17226	89	1196	4.29	12463	28	12078	29	12237	28	36778	93.79	375	10	1208.29	1449	30.42	7	1.2	1.2	41.7	52.6	277.7	
9/15/2014	18:01:40	4692.18	4692.31	4065.37	4683.5	403.7	404.6	404.6	19.9	16851	17844	17844	86	1215	4.29	12469	28	12084	29	12243	28	36796	93.79	373	10	1207.19	1442	30.42	9	1.2	1.2	41.7	52.5	277.7	
9/15/2014	18:01:50	4692.35	4692.35	4065.37	4683.5	403	404.1	404.1	20.5	18061	16644	16644	92	1215	4.29	12474	28	12089	29	12248	28	36811	93.8	372	13	1206.04	1468	30.42	9	1.2	1.2	41.6	52.6	277.7	
9/15/2014	18:02:00	4692.29	4692.35	4065.37	4683.5	412.6	420.9	420.9	10.9	17242	17327	17327	89	1225	4.29	12477	28	12093	29	12251	28	36821	93.8	372	13	1206.75	1257	30.4	10	1.2	1.2	41.7	52.5	277.7	
